time	V(n004)
Step Information: Wyp=100m  (Run: 1/9)
1.250846674980419e-003	2.274782e+000
1.263256311818548e-003	2.291129e+000
1.275668979093023e-003	2.294779e+000
1.300494313641973e-003	2.283804e+000
1.301915096236206e-003	2.282282e+000
1.301921600858660e-003	2.282273e+000
1.301934610103567e-003	2.282253e+000
1.301936747000024e-003	2.282250e+000
1.301937812628008e-003	2.282248e+000
1.301937825757862e-003	2.282248e+000
1.301937852017571e-003	2.282248e+000
1.301937876311737e-003	2.282248e+000
1.301937896174695e-003	2.282248e+000
1.349831271091116e-003	2.209682e+000
1.350391287509599e-003	2.208834e+000
1.350393450277428e-003	2.208831e+000
1.350394087112686e-003	2.208830e+000
1.350394613943146e-003	2.208829e+000
1.350956130483692e-003	2.208022e+000
1.361868159804266e-003	2.209676e+000
1.362204724409451e-003	2.210250e+000
1.362458204875368e-003	2.210706e+000
1.362728584039012e-003	2.211209e+000
1.362788825474738e-003	2.211322e+000
1.362789060792847e-003	2.211323e+000
1.363329583802027e-003	2.212344e+000
1.375896261448955e-003	2.229465e+000
1.388475223238255e-003	2.233817e+000
1.413633146816856e-003	2.223902e+000
1.415559208336382e-003	2.221905e+000
1.416035305695418e-003	2.221203e+000
1.416037891273831e-003	2.221199e+000
1.416043062430655e-003	2.221191e+000
1.416044048823020e-003	2.221189e+000
1.416044615324550e-003	2.221189e+000
1.416044627203608e-003	2.221189e+000
1.416044650961723e-003	2.221189e+000
1.416044682681688e-003	2.221189e+000
1.416044711262198e-003	2.221189e+000
1.462317210348709e-003	2.151079e+000
1.462877226767245e-003	2.150230e+000
1.462879389535080e-003	2.150227e+000
1.462880026370344e-003	2.150226e+000
1.462880553200813e-003	2.150225e+000
1.463442069741285e-003	2.149418e+000
1.474690663667044e-003	2.151735e+000
1.474943095526254e-003	2.152193e+000
1.475212356176078e-003	2.152697e+000
1.475277001759972e-003	2.152820e+000
1.475277254281784e-003	2.152821e+000
1.475815523059620e-003	2.153847e+000
1.489004799530058e-003	2.171836e+000
1.502206968743869e-003	2.176043e+000
1.528611307171490e-003	2.164655e+000
1.529992155763212e-003	2.163178e+000
1.529999211176532e-003	2.163167e+000
1.530013322003170e-003	2.163146e+000
1.530016001222273e-003	2.163142e+000
1.530017392936529e-003	2.163140e+000
1.530017413535206e-003	2.163140e+000
1.530017454732559e-003	2.163140e+000
1.530017484813014e-003	2.163139e+000
1.530017513109776e-003	2.163139e+000
1.574803149606302e-003	2.095283e+000
1.575362462303712e-003	2.094435e+000
1.575365379700845e-003	2.094431e+000
1.575366185900889e-003	2.094429e+000
1.575366852227240e-003	2.094429e+000
1.575928008998878e-003	2.093622e+000
1.587176602924637e-003	2.096022e+000
1.587288910588481e-003	2.096227e+000
1.587513525916169e-003	2.096644e+000
1.587852231661837e-003	2.097284e+000
1.587853109065461e-003	2.097286e+000
1.588305673842808e-003	2.098146e+000
1.599800331031823e-003	2.114688e+000
1.611300603588299e-003	2.120932e+000
1.634301148701249e-003	2.117536e+000
1.638435330947569e-003	2.114282e+000
1.641041896506692e-003	2.110999e+000
1.641906426276854e-003	2.109801e+000
1.642530741040571e-003	2.108895e+000
1.642770507631577e-003	2.108541e+000
1.642961652533063e-003	2.108254e+000
1.643030256490081e-003	2.108151e+000
1.643088143928916e-003	2.108064e+000
1.643107343686403e-003	2.108035e+000
1.643123793306858e-003	2.108010e+000
1.643129075490658e-003	2.108002e+000
1.643133559951419e-003	2.107995e+000
1.643135012901394e-003	2.107993e+000
1.643136218826710e-003	2.107991e+000
1.643136627760825e-003	2.107991e+000
1.643136947510961e-003	2.107990e+000
1.643137070392351e-003	2.107990e+000
1.643137154994924e-003	2.107990e+000
